username,Average,Median,Mode,Max,Min,Below 100
AMDRyzen,566.005376344086,384.0,249,5081,239,1370
AMDServer,1840.75,1797.0,249,3520,249,1370
AMD_UK,659.3333333333334,515.0,263,1200,263,1370
ARC_maldives,95.33333333333333,83.0,65,138,65,1370
ARTravs,95.0,60.0,41,305,41,1370
ASPolice,136.2537313432836,74.0,41,4421,41,1370
ASTROARENA,116.5,116.5,56,177,56,1370
ASTROGaming,192.676731078905,137.0,67,6990,41,1370
ASTROGamingDE,51.5,51.5,45,58,45,1370
ASTROGamingJP,53.5,53.5,49,58,49,1370
ASTROGamingMX,88.0,88.0,88,88,88,1370
ASTROGamingUK,121.74509803921569,84.0,44,688,41,1370
ASTRO_Staff,10735.682926829268,7397.0,9323,28202,1756,1370
ASUS,238.417004048583,204.0,2,1979,1,1370
ASUSAU,5.295774647887324,3.0,1,192,0,1370
ASUSEgypt,3.723404255319149,3.0,1,25,0,1370
ASUSIndia,276.7023593466425,219.0,43,3005,0,1370
ASUSPT,7.230769230769231,6.0,6,22,1,1370
ASUSUK,7.849002849002849,5.0,4,749,0,1370
ASUSUSA,40.88313725490196,22.0,20,3200,0,1370
ASUS_Indonesia,13.666666666666666,12.0,6,39,3,1370
ASUS_ROG_IN,35.84900284900285,20.0,14,1304,0,1370
ASUS_Saudia,2.55,2.0,2,6,0,1370
ASUSph,6.638009049773756,4.0,2,42,0,1370
AVIVAIRELAND,205.4,116.0,93,1666,62,1370
AVIVAStadium,181.2,94.0,63,580,63,1370
AW1goalkeeping,357.0,357.0,163,551,163,1370
AXA,217.75,62.5,49,3385,41,1370
AXAHealth,100.5,100.5,77,124,77,1370
AXAIM,48.0,48.0,48,48,48,1370
AXAIM_UK,256.0,256.0,256,256,256,1370
AXAResearchFund,63.0,63.0,63,63,63,1370
AXASegurosEs,69.0,69.0,69,69,69,1370
AXA_PH,1115.0,852.0,205,3201,205,1370
AXA_Partners,42.0,42.0,42,42,42,1370
AandSPCC,97.7,77.0,41,258,41,1370
AaronBell4NUL,454.7142857142857,199.0,142,1167,142,1370
AaronEmersonPR,4.111111111111111,4.0,3,6,2,1370
Aaryn_Williams,310.6756756756757,232.0,117,5215,111,1370
AbbieEaton44,777.0983606557377,373.0,72,5218,60,1370
Abs_NBC,200.0,200.0,200,200,200,1370
Accenture,285.9766081871345,78.0,45,3662,41,1370
AccentureDACH,54.0,54.0,54,54,54,1370
AccentureFed,61.5,61.5,45,78,45,1370
AccentureIndia,953.96,183.0,52,9775,42,1370
AccentureJobsIN,62.0,58.0,42,89,42,1370
AccentureSong,142.86206896551724,69.0,43,542,41,1370
Accenture_Irl,75.25,69.5,41,144,41,1370
Accenture_PT,53.0,53.0,53,53,53,1370
Accenture_US,114.81818181818181,73.0,43,526,43,1370
Acer,195.75925925925927,81.5,41,1416,41,1370
AcerAmerica,253.0857142857143,258.0,51,1526,41,1370
AcerEducation,706.5,568.0,155,1645,155,1370
Acer_India,243.62121212121212,120.5,49,3299,41,1370
ActuallyEmerson,133.50641025641025,4.0,3,3216,0,1370
AdamWilliamsSJA,1344.4285714285713,148.0,112,8582,112,1370
Adamscherr99,4449.346153846154,2209.0,290,30314,290,1370
AdrBell,519.0434782608696,161.0,107,7179,107,1370
AfterTheBellWWE,467.57142857142856,404.0,594,3119,107,1370
AftertheBell,528.8461538461538,478.0,119,939,119,1370
AhlamAlShamsi,422.44444444444446,353.0,72,1354,72,1370
AhmadJawadBTH,204.64948453608247,129.0,100,3378,82,1370
AirtelMalawiPlc,418.5,257.0,134,1407,134,1370
AirtelNigeria,1808.75,641.5,130,20939,112,1370
Airtel_Ug,306.8,225.0,139,2092,107,1370
Airtel_Zambia,248.28571428571428,161.0,132,597,132,1370
AlanFarrell,126.33333333333333,112.0,95,172,95,1370
AlaskaAir,676.7586206896551,530.5,484,3818,324,1370
Alcoa,5.226415094339623,4.0,4,85,0,1370
AlcoaFoundation,2.857142857142857,3.0,2,5,0,1370
AlexArthur1,128.875,67.5,0,1197,0,1370
AllanBell247,655.5871559633027,241.0,157,12056,107,1370
Allstate,318.0,318.0,318,318,318,1370
AllstateCup,877.6666666666666,380.0,177,2264,177,1370
Amariibell,489.6,328.5,298,1176,190,1370
AmazonAds,365.3333333333333,339.0,286,471,286,1370
AmazonAdviser,858.0,858.0,858,858,858,1370
AmazonAlexaIN,584.2,640.0,287,833,287,1370
AmazonFashion,316.0,316.0,316,316,316,1370
AmazonFreevee,499.0,467.0,237,896,237,1370
AmazonMusicIN,1650.1833333333334,601.5,246,43703,237,1370
AmazonMusicMX,247.0,247.0,247,247,247,1370
AmazonMusicUK,2722.7263157894736,460.0,242,42387,242,1370
AmazonNewsEU,598.0,379.0,285,1243,285,1370
AmazonNews_IN,1035.6976744186047,407.0,284,18373,243,1370
AmazonPhotos,465.0,465.0,465,465,465,1370
AmazonPub,536.8072289156627,296.0,238,4273,236,1370
AmazonScience,350.0,350.0,350,350,350,1370
AmazonStudios,777.6223776223776,411.0,911,27131,237,1370
AmazonreMARS,452.0,452.0,452,452,452,1370
AmerIndependent,221.88793103448276,81.5,42,31919,41,1370
AmericanExpress,220.26966292134833,65.0,41,6875,41,1370
AmexBusiness,44.0,44.0,44,44,44,1370
AmexBusinessCan,66.5,66.5,48,85,48,1370
AmexBusinessUK,79.6,82.0,52,96,52,1370
AmexUK,532.5,122.5,42,4088,42,1370
Amtrak,282.1551724137931,240.0,255,1031,190,1370
Amway,192.5441176470588,171.0,119,635,115,1370
AmwayCanada,229.0,229.0,229,229,229,1370
AmwayCenter,318.78125,199.0,181,1466,116,1370
AmwayUS,143.94117647058823,136.0,114,236,114,1370
AmyDuPontWKBT,118.64285714285714,73.0,41,725,41,1370
AmyWilliamsMBE,386.2068965517241,197.0,166,5322,111,1370
AndreSmith_9,294.1904761904762,170.0,48,1469,48,1370
AndrewBellBNN,425.0,425.0,425,425,425,1370
AndyBell_info,171.33333333333334,133.0,107,382,107,1370
Andy_Staples,382.85714285714283,180.5,103,4502,102,1370
Andybebop,257.1875,215.0,110,539,110,1370
AnneRabbitte,175.6,193.0,95,247,95,1370
AnneTEmerson,1.8412698412698412,2.0,0,6,0,1370
Applebees,191.06153846153848,103.0,67,2882,67,1370
ArcDigi,112.14285714285714,65.0,60,364,60,1370
Arightside,730.4444444444445,224.0,127,5884,127,1370
ArlanWasHere,288.49952335557674,117.0,47,10830,44,1370
Arm,105.93333333333334,64.5,68,1021,1,1370
Arthurvw1986,207.0493827160494,179.0,151,783,113,1370
AshMWill,301.0,301.0,301,301,301,1370
AshtonJEaton,818.1,175.5,73,3763,73,1370
AskLyft,804.0,804.0,804,804,804,1370
AstroRadioNews,230.27777777777777,77.0,41,3377,41,1370
AstroSafariUSA,74.0,74.0,74,74,74,1370
Astro_Gempak,63.5,63.5,42,85,42,1370
Astro_Suni,924.75,726.0,144,2358,144,1370
AsusFrance,26.0,26.0,26,26,26,1370
Augemer,2.0,2.0,2,2,2,1370
AusAmbRHS,118.0,118.0,118,118,118,1370
AusHCKenya,283.6,146.0,114,799,114,1370
AutomaticZen,522.5806451612904,224.0,142,3749,112,1370
AvivaCanada,111.66666666666667,74.0,71,190,71,1370
AvivaKlompas,205.7751937984496,108.0,61,2515,60,1370
AvivaRShechter,110.33333333333333,76.5,63,254,63,1370
AvivaUK,69.0,70.0,70,70,67,1370
AvonFireRescue,101.70731707317073,60.0,46,666,41,1370
AvonIndia,119.2,77.0,76,810,41,1370
AvonInsider,53.515151515151516,46.0,43,197,41,1370
AvonLakePolice,48.5,48.5,48,49,48,1370
AvonPolice,74.16666666666667,54.5,51,237,44,1370
Avon_UK,65.13333333333334,58.0,47,140,44,1370
Azure,103.72170686456401,73.0,51,1187,50,1370
BACARDI,132.5,80.5,49,471,49,1370
BEM_MRT,67.0,67.0,67,67,67,1370
BGISD,63.403225806451616,55.5,49,154,41,1370
BHudTV,448.1818181818182,120.0,74,1969,74,1370
BNYMellon,50.666666666666664,47.0,41,64,41,1370
BWWings,1931.8428571428572,47.5,0,59845,0,1370
BWWingsCanada,4.6,3.0,0,20,0,1370
BWWingsCares,5.0,5.0,5,5,5,1370
BWWingsKSA,2.5833333333333335,1.0,0,32,0,1370
BWWingsMX,2.0,2.0,2,2,2,1370
BWWingsOM,1.5277777777777777,0.0,0,45,0,1370
BWWingsUAE,2.4047619047619047,0.0,0,49,0,1370
BWilliLiou,138.0,138.0,138,138,138,1370
BacardiCanada,2.0,2.0,2,2,2,1370
BacardiWIL,1.872093023255814,2.0,1,4,0,1370
BarRefaeli,299.9166666666667,294.0,329,472,150,1370
BarRescue,144.67936507936508,102.0,70,4768,67,1370
BarikiSmithMTV,128.44444444444446,126.0,68,208,68,1370
Barstool_LTB,247.39655172413794,167.5,70,1288,69,1370
Bayer,294.625,261.5,197,470,197,1370
Bayer4Crops,310.64285714285717,316.0,252,498,183,1370
Bayer4CropsUS,242.5,242.5,188,297,188,1370
BayerPharma,293.25,240.0,182,520,182,1370
BayerUS,380.8,429.0,184,531,184,1370
Becsywecsy,175.56,156.0,114,317,111,1370
Bell,302.7142857142857,155.0,155,1190,111,1370
Bell4lastRound,236.0,122.0,107,479,107,1370
BellLabs,214.2941176470588,151.0,110,598,110,1370
BellMediaPR,172.66666666666666,149.0,115,254,115,1370
BellMuseum,490.0,490.0,138,842,138,1370
BellRibeiroAddy,641.4098360655738,276.0,108,8752,108,1370
BellX1,147.0,147.0,147,147,147,1370
Bell_LetsTalk,809.2028985507246,299.0,112,16820,111,1370
Bell_MTS,162.0,162.0,136,188,136,1370
BenCameron23,655.0,655.0,655,655,655,1370
Ben_Williams31,388.125,403.5,205,658,205,1370
Benaresofficial,50.25,49.0,43,60,43,1370
BenjaminBell,463.0,463.0,343,583,343,1370
BernardDurkanTD,111.0,111.0,111,111,111,1370
BerryCathal,190.2058823529412,131.5,87,971,85,1370
BiancaaWills,435.0,435.0,425,445,425,1370
BigVicWilliams,208.0,213.0,169,242,169,1370
BikeMetro,46.5,46.5,46,47,46,1370
BlackBerry,31.413972888425445,26.0,24,288,3,1370
BlackShellMedia,56.0,56.0,56,56,56,1370
BlueJeansNet,156.92307692307693,123.0,123,554,41,1370
BobJWilliams,331.0,331.0,121,541,121,1370
BobbyMaximus,7.7272727272727275,4.5,4,31,1,1370
Boeing,1439.0882352941176,977.5,629,4093,629,1370
BoeingAirplanes,1233.1444444444444,958.5,752,5174,624,1370
BoeingAustralia,652.0,652.0,652,652,652,1370
BoeingDefense,991.1590909090909,812.0,624,3334,616,1370
BoeingSpace,1390.0,990.0,946,7217,622,1370
BoeingUK,1075.0,1043.0,639,1662,639,1370
Boeing_In,3174.909090909091,1142.0,690,12120,690,1370
BookofEllis,188.22222222222223,184.0,126,301,126,1370
BornFreeFDN,206.4367816091954,127.5,47,14623,44,1370
BornFreeUSA,82.19285714285714,64.0,48,503,44,1370
Brad7News,151.0,138.0,138,203,125,1370
BrandoEaton,84.0,84.0,60,108,60,1370
BrandonW_66,623.1818181818181,319.0,152,2331,152,1370
Brett_Hudson,372.86341463414635,135.0,82,30621,71,1370
BriaBellTV,377.8,353.0,123,748,123,1370
BrittanyBabc7,201.33333333333334,199.5,136,288,136,1370
BrookingsMetro,199.41666666666666,69.5,41,1640,41,1370
Browne4Dail,173.0,146.0,107,266,107,1370
CAMKINGY,595.1666666666666,411.0,208,1174,208,1370
CB1939Canarias,107.5,94.0,75,150,75,1370
CBA_News,106.27272727272727,92.0,74,198,74,1370
CBC,312.0918220946915,102.0,65,13198,41,1370
CBCAboutTime,515.75,88.5,62,1824,62,1370
CBCAlerts,306.48333333333335,102.0,45,33331,41,1370
CBCArts,129.11458333333334,69.0,41,2376,41,1370
CBCBusiness,96.78571428571429,64.5,45,646,42,1370
CBCCalgary,115.24376731301939,70.0,45,2202,41,1370
CBCCanada,95.67169811320754,63.0,43,815,41,1370
CBCComedy,124.27272727272727,88.5,56,293,46,1370
CBCCrosstalk,560.0,560.0,560,560,560,1370
CBCDay6,104.24137931034483,71.0,45,628,41,1370
CBCEdmonton,153.94588235294117,69.0,43,4531,41,1370
CBCEnt,141.44444444444446,85.0,48,896,41,1370
CBCHamilton,87.56666666666666,59.0,41,365,41,1370
CBCHealth,105.62162162162163,65.0,61,375,41,1370
CBCHereandNow,204.2608695652174,57.0,43,2742,43,1370
CBCHfxTraffic,45.0,45.0,45,45,45,1370
CBCHomestretch,57.333333333333336,46.0,41,85,41,1370
CBCIndigenous,177.10696517412936,85.0,48,7552,41,1370
CBCInfoRad,168.0,168.0,93,243,93,1370
CBCKW891,99.73170731707317,64.0,46,533,41,1370
CBCKamloops,641.0,82.0,66,2874,66,1370
CBCKelowna,770.0,770.0,52,1488,52,1370
CBCKids,221.68,115.0,79,885,43,1370
CBCLondon,86.49180327868852,58.0,45,556,41,1370
CBCManitoba,105.62162162162163,67.5,42,883,41,1370
CBCMontreal,386.19565217391306,78.5,54,6062,41,1370
CBCMusic,203.31010452961672,69.0,42,10783,41,1370
CBCNB,86.16243654822335,59.0,43,675,41,1370
CBCNL,117.39874411302982,69.0,43,9764,41,1370
CBCNS,115.45749613601237,69.0,44,7431,41,1370
CBCNews,339.93815987933635,106.0,49,12402,41,1370
CBCNorth,244.2093023255814,73.5,56,7903,41,1370
CBCNowOrNever,61.0,61.0,43,79,43,1370
CBCOlympics,268.19793656858997,105.0,42,21477,41,1370
CBCOnTheCoast,67.0,57.0,57,138,41,1370
CBCOttawa,125.81985294117646,69.0,47,4873,41,1370
CBCPEI,84.9590909090909,66.0,43,758,41,1370
CBCPolitics,116.17677642980937,71.0,43,1486,41,1370
CBCQuebec,46.0,46.0,46,46,46,1370
CBCROJaipur,111.5,90.0,44,223,44,1370
CBCRadioActive,134.0,134.0,134,134,134,1370
CBCRadioNoon,49.0,49.0,49,49,49,1370
CBCSask,143.1875,73.0,41,909,41,1370
CBCSaskatoon,165.0,88.5,46,490,46,1370
CBCScienceEnv,68.75,57.5,42,173,42,1370
CBCTheNational,268.36611374407585,101.5,56,16795,41,1370
CBCToronto,180.79453067257944,79.0,47,4561,41,1370
CBCVancouver,131.83333333333334,77.5,46,744,46,1370
CBCWindsor,77.22727272727273,56.5,46,178,41,1370
CBCWorldNews,321.2093023255814,103.0,43,2135,42,1370
CBellRacing,480.42487046632124,326.0,191,4405,107,1370
CDCTobaccoFree,178.16216216216216,73.0,49,745,46,1370
CGrimesWWE,403.6666666666667,416.5,155,594,155,1370
CHANEL,6063.314960629921,1987.0,1619,67813,1345,1370
CHN_Metro_Water,90.0909090909091,73.0,43,181,43,1370
CIJ_Malaysia,78.0,64.5,43,140,43,1370
CISOZ,57.5,57.5,53,62,53,1370
CJCJ_RL,384.8536585365854,239.0,141,2079,139,1370
CNBCClosingBell,271.1860465116279,161.0,109,2402,109,1370
CNN,1869.7626487028808,908.0,520,419288,492,1370
CNNAfrica,3234.6296296296296,1264.5,500,20896,500,1370
CNNBusiness,1290.3125,761.0,494,4478,494,1370
CNNFC,3164.125,1675.0,619,15209,619,1370
CNNHeroes,1435.6470588235295,832.0,531,5490,531,1370
CNNOpinion,1568.0,809.0,493,3402,493,1370
CNNOriginals,1537.5,1537.5,1452,1623,1452,1370
CNNPR,13154.0,1637.0,525,144737,525,1370
CNNPhotos,1251.7272727272727,706.0,496,5829,496,1370
CNNPolitics,1537.6838214387262,899.0,494,47057,492,1370
CNNStyle,1517.0,1517.0,1336,1698,1336,1370
CNNTURKSpor,861.0,861.0,861,861,861,1370
CNNTravel,670.3333333333334,654.0,653,704,653,1370
CNNUnderscored,1146.6666666666667,934.0,673,1833,673,1370
CNN_AIR,2066.0,2066.0,2066,2066,2066,1370
CNN_Oppmann,16486.0,721.0,558,48179,558,1370
CNNent,1143.4444444444443,784.0,635,2394,635,1370
CNNnewsroom,1575.7586206896551,836.0,499,34491,492,1370
CNTR4growth,51.0,51.0,51,51,51,1370
COTYInc,92.0,92.0,92,92,92,1370
CSChallengeFW,5.292307692307692,2.0,1,65,0,1370
CSexton25,213.5,190.0,153,321,153,1370
CTabatabaie,1660.2,295.0,162,13680,162,1370
CaJBoyce,162.0,162.0,140,184,140,1370
CalWilliamsComm,207.35714285714286,159.0,112,523,112,1370
CallMeAgent00,4456.816091954023,2222.0,592,104002,592,1370
CallMeCameron,177.0,177.0,177,177,177,1370
Cam12Delport,1351.340909090909,426.0,158,11356,138,1370
Cam39Porter,619.0,619.0,619,619,619,1370
CamChalmers400,208.0,208.0,154,262,154,1370
CamCox12,9926.184210526315,269.0,356,329649,139,1370
CamTringale,235.5,235.5,159,312,159,1370
Cam_Cawthorne,434.7083333333333,274.0,153,3066,153,1370
Cam_Johnston,1180.6153846153845,228.0,150,8983,150,1370
Cam_Jourdan,501.5,300.0,146,1260,146,1370
Cam_Mac_Millan,188.0,188.0,188,188,188,1370
CamcamKennedy,313.0,313.0,163,463,163,1370
Cameron01Evans,237.5,237.5,138,337,138,1370
Cameron112,328.3333333333333,263.5,307,838,141,1370
Cameron246bran,716.5384615384615,437.0,141,6315,141,1370
Cameron7Ward,264.4,280.0,187,338,187,1370
CameronAhmad,343.3103448275862,336.0,277,698,143,1370
CameronAtfield,704.3333333333334,485.0,295,1333,295,1370
CameronBrittonH,458.4,487.0,190,608,190,1370
CameronCrowe,659.3913043478261,287.0,140,5614,140,1370
CameronDLWalker,375.53846153846155,199.0,141,1700,141,1370
CameronFields_,207.0,207.0,177,237,177,1370
CameronFontana,238.66666666666666,210.5,139,431,139,1370
CameronFriesen,288.0,288.0,288,288,288,1370
CameronFuller,795.875,438.5,174,2409,174,1370
CameronKSHB,182.25,160.0,148,261,148,1370
CameronLynch50,233.66666666666666,165.0,153,383,153,1370
CameronMaybin,2782.318181818182,1514.5,271,14061,148,1370
CameronNewton,1095.5972222222222,487.5,361,30843,164,1370
CameronOcasio,173.0,173.0,173,173,173,1370
CameronPL,267.5,267.5,177,358,177,1370
CameronRidle,1459.2307692307693,413.0,138,7944,138,1370
CameronWalker,163.36363636363637,160.0,146,191,141,1370
CameronWhitten,166.8,153.0,145,230,145,1370
CameronWolfe,434.050505050505,262.0,207,4157,138,1370
Cameron_Gray,636.3488372093024,246.0,157,6501,141,1370
Cameron__Champ,669.4,302.0,161,3032,161,1370
Cameronarcher_,144.0,144.0,144,144,144,1370
Cameronvdburgh,490.03846153846155,269.0,293,2115,150,1370
CameroonPm237,144.57627118644066,125.0,94,553,85,1370
Camhumphreys3,517.0,517.0,517,517,517,1370
CammAlive,373.0,373.0,373,373,373,1370
CanadaSevens,91.17391304347827,67.0,44,791,41,1370
CapeTown7s,93.46428571428571,61.5,58,421,41,1370
CarrollJennifer,276.3125,185.0,88,1171,88,1370
CaseyDHudson,1592.3,552.5,186,10822,186,1370
CaseyTheVA,321.3402489626556,108.0,59,18737,59,1370
CassidyWtv,777.5,356.5,118,3777,118,1370
CelesteforAR,262.875,173.5,115,565,115,1370
ChampionsCup,196.57543859649124,133.0,85,2675,85,1370
ChanelRion,4004.242424242424,2735.0,1466,21408,1357,1370
ChantalOnAir,8.645669291338583,8.0,4,17,0,1370
CharlesOakley34,11007.42857142857,7444.0,2906,33542,2906,1370
CharlesPulliam,1165.2089552238806,189.5,92,70292,83,1370
CharlesRanger23,620.0,620.0,620,620,620,1370
CharlesSchwab,2.6248492159227985,2.0,1,162,0,1370
CheetahsRugby,9.32976653696498,7.0,6,290,0,1370
Chilis,323.0060975609756,97.0,71,7991,67,1370
ChocolatePuma,315.5,315.5,278,353,278,1370
ChristelFox4KC,276.0,276.0,276,276,276,1370
ChristianW,142.0,142.0,142,142,142,1370
ChuckBell4,186.27272727272728,142.0,119,659,107,1370
Cinco_Cinco3,315.0,315.0,315,315,315,1370
Cisco,97.19959266802444,58.0,44,3426,1,1370
CiscoANZ,1.555908009516257,1.0,0,219,0,1370
CiscoCX,1.490990990990991,1.0,1,42,0,1370
CiscoCanada,1.168556701030928,0.0,0,192,0,1370
CiscoChampion,2.67578125,2.0,1,72,0,1370
CiscoCloud,2.482222222222222,2.0,1,258,0,1370
CiscoCollab,13.124121779859484,3.0,4,797,0,1370
CiscoCommunity,1.7606177606177607,2.0,1,4,0,1370
CiscoCotto,8.40677966101695,2.0,1,351,0,1370
CiscoDevNet,143.644776119403,3.0,3,4605,0,1370
CiscoDoBrasil,11.4,4.0,4,44,2,1370
CiscoFrance,14.6,1.0,1,70,0,1370
CiscoIT,2.702970297029703,3.0,3,4,0,1370
CiscoIoT,1376.4243542435424,3.0,3,30931,0,1370
CiscoItalia,6.181818181818182,2.0,1,48,0,1370
CiscoNetworking,2.130841121495327,2.0,2,316,0,1370
CiscoPartners,2.8754578754578755,2.0,2,101,0,1370
CiscoPortugal,1.7126436781609196,2.0,1,4,0,1370
CiscoReyes,0.8947368421052632,1.0,0,3,0,1370
CiscoSP360,1.749013417521705,1.0,1,121,0,1370
CiscoSaudia,1.3387387387387388,1.0,0,54,0,1370
CiscoSecure,4.76595744680851,3.0,4,205,0,1370
CiscoSmallBiz,1.2074468085106382,1.0,0,4,0,1370
CiscoSoftware,1.0184426229508197,1.0,0,4,0,1370
CiscoTerreros,5.4,3.0,4,105,0,1370
CiscoUKI,2.1213047910295617,2.0,1,176,0,1370
CiscoUmbrella,2.894822006472492,2.0,1,128,0,1370
Cisco_BE,1.339080459770115,1.0,1,4,0,1370
Cisco_Germany,2.0,2.0,1,4,1,1370
ClifBar,161.73684210526315,122.0,67,658,67,1370
CoachAdamW,140.0,122.0,114,184,114,1370
CoachCaddy24,473.6666666666667,361.0,174,1687,174,1370
CoachDee_USC,570.5833333333334,491.5,265,982,265,1370
CoachK_Bell,351.11764705882354,383.0,107,682,107,1370
CoachShawnBell,224.53658536585365,159.0,126,723,113,1370
CoachWilliams12,358.52777777777777,282.5,149,1358,118,1370
CoachWilliams_7,210.75,196.0,130,321,130,1370
Coach_Dollar,340.0,340.0,340,340,340,1370
ColmBurkeTD,294.8333333333333,180.5,133,890,133,1370
ComcastMilitary,55.5,53.0,71,71,42,1370
ComcastNewsmkrs,215.4,165.5,91,1010,45,1370
ContiTourGold,99.35483870967742,63.0,53,368,42,1370
ContiUK,112.4,84.0,60,295,52,1370
Conti_Industry,65.5,65.5,48,83,48,1370
Converse,1765.2222222222222,785.0,607,8990,476,1370
CormacDevlin,144.5,138.0,90,227,90,1370
Costellop,217.03125,148.0,90,1129,88,1370
CotyDavis_24,156.5,99.0,43,420,43,1370
CotySense,79.25,62.5,42,150,42,1370
CourtMWilliams,117.0,117.0,117,117,117,1370
CreamRealBetis,855.4,194.0,175,3310,175,1370
CreditSuisse,157.84375,109.5,49,864,41,1370
Cricketnation,706.4326923076923,461.0,174,4671,169,1370
DAJCameron,245.0,213.0,185,337,185,1370
DCP_DelhiMetro,104.65517241379311,85.0,49,522,42,1370
DPBell,419.0,419.0,419,419,419,1370
DQCanada,761.6666666666666,467.0,193,1625,193,1370
DWXXIII,1435.909090909091,786.5,111,8988,111,1370
DWilliamsTV,1167.6666666666667,237.5,128,5749,123,1370
DairyQueen,255.22857142857143,207.0,184,614,155,1370
Damien_English,238.66666666666666,228.0,132,356,132,1370
DanEatonBiz1st,175.0,175.0,175,175,175,1370
DanEmerson14,2.0,3.0,3,3,0,1370
DanWilliams,125.5,125.5,114,137,114,1370
DangerousDaveW,239.0,223.0,172,338,172,1370
DariaGerman,59.25,57.5,49,73,49,1370
Darius7Williams,232.0,259.0,113,297,113,1370
Darren_Cameron,255.75,182.5,139,588,139,1370
DarrinBellArt,524.2,272.0,111,1816,111,1370
DarrylMBell,140.0,125.0,107,244,107,1370
Dash,2817.75,2320.0,684,5947,684,1370
Dashlwilliams,146.0,150.0,118,170,118,1370
DavidGMcAfee,33.0,24.0,0,189,0,1370
DavidMcAfeeLA,4.0,4.0,4,4,4,1370
David_Cameron,1070.657894736842,535.0,157,3982,157,1370
DavidaBWilliams,315.0,315.0,315,315,315,1370
DeAngeloRB,443.0,202.0,114,6545,112,1370
DePaulU,75.77358490566037,64.0,49,285,45,1370
DegarrickSamuel,291.32835820895525,248.0,165,1088,117,1370
DemonSlayerUSA,2147.5,1390.0,892,13283,892,1370
DenbighshireFP,46.0,46.0,46,46,46,1370
DesjardinsGroup,4.248,3.0,1,17,0,1370
DesjardinsINS,1.9090909090909092,2.0,1,10,0,1370
DianaWilliamsNY,171.0,171.0,129,213,129,1370
DiggstownCBC,104.6923076923077,68.0,42,342,41,1370
DistanceCovered,851.4,213.0,119,7177,114,1370
DollarGeneral,90.125,62.0,43,244,43,1370
DominionEnergy,399.1666666666667,407.5,245,520,245,1370
DominionTheatre,329.3333333333333,230.0,226,532,226,1370
DonBellonCBS3,191.0,191.0,191,191,191,1370
DougCameron51,517.3333333333334,369.0,172,1119,172,1370
DougWilliamsTV,424.2,156.0,123,1141,123,1370
DougWilliamsUK,177.8,187.0,127,204,127,1370
Doug_Belk,130.42857142857142,116.0,77,271,77,1370
DoveCameron,5211.674418604651,3553.0,917,26954,917,1370
DrCamColvin,313.2857142857143,365.0,155,505,155,1370
DrCameronWebb,2374.34,275.5,216,92884,143,1370
DrLisaCameronMP,261.9230769230769,242.0,145,491,145,1370
DrNeilHudson,167.28571428571428,135.0,76,414,76,1370
DrPJWilliams,220.0,172.0,151,728,112,1370
