,id,date,likes,content,username,media,inferred company,captions
10,11,2019-08-07 19:42:40,2,.<mention> takes the stage at #BHUSA to talk about #IoT and the state of security. <hyperlink>,McAfee,"[Photo(previewUrl='https://pbs.twimg.com/media/EBZDT4uUIAES5gv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EBZDT4uUIAES5gv?format=jpg&name=large')]",mcafee,"Image describes The image features a man standing at a podium, wearing a gray jacket and a white shirt. He is smiling and appears to be giving a presentation or speech. The man is holding a laptop, which is placed on the podium in front of him. The laptop is open, and the man seems to be using it as a visual aid during his talk. The background of the image is black, which adds a contrasting effect to the man and his presentation."
11,12,2020-11-18 00:07:02,0,"#NetZeroHomes: learn the best way to get to zero, from a program, product &amp; builder perspective. November 18th webinar details: <hyperlink> Pictured is 10 megawatt-hours of solar energy that are been exported to the grid at the home of our CEO, Mark Kuntz. <hyperlink>",MitsubishiHVAC,"[Photo(previewUrl='https://pbs.twimg.com/media/EnEIA1NXcAQIJw8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EnEIA1NXcAQIJw8?format=jpg&name=large')]",trane,"Image describes The image features a white and grey digital clock, which is likely a parking meter, located on a street. The clock displays the time as 10:14. The parking meter is situated next to a red and white sticker, adding a pop of color to the scene. The overall color scheme of the image is predominantly white and grey, with the red and white sticker providing a contrasting accent."
12,13,2020-03-01 15:48:46,672,"The US-Taliban agreement, which sets into motion the potential of a full withdrawal of US troops from Afghanistan, calls for the release of 5,000 Taliban prisoners.
“We have not made a commitment,” Afghan President says. “It’s a sovereign Afghan decision.”
<hyperlink> <hyperlink>",CNN,"[Video(thumbnailUrl='https://pbs.twimg.com/media/ESCO6b9WkAUBI1o.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1234143435654868992/pl/nYicdFU2bqnqhT7Q.m3u8?tag=13&v=f4c', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1234143435654868992/vid/640x360/6x9561bKICzF89Ur.mp4?tag=13', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1234143435654868992/vid/480x270/4gUTJJGGySp_lN0e.mp4?tag=13', bitrate=288000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1234143435654868992/vid/960x540/0lhTA1u0RQ7IYC-O.mp4?tag=13', bitrate=2176000)], duration=288.622, views=72953)]",cnn,"Image describes The image features a man wearing a blue and white striped shirt, sitting in front of a wall. He appears to be an older man with a beard and mustache. The man is wearing a tie, which is visible in the lower part of the image. The overall color scheme of the image is predominantly blue and white, with the man's shirt and tie being the main sources of these colors. and the video's audio describes America's longest war, the so-called forever war may actually be ending, may. Yesterday in Doha representatives of the United States and the Taliban signed the agreement for bringing peace to Afghanistan. The document sets a 14-month window for the U.S. to withdraw its troops. It also calls for the release of up to 5,000 Taliban prisoners. On the other side, the Taliban promises to prevent terror groups from using Afghanistan as a base to threaten the United States and its allies. There is one absolutely critical party to any Afghan peace who was in at the signing, the president of Afghanistan, Ashraf Ghani. He may not have been in Doha, but he joins me now from Kabul. Welcome, Mr. President. It's a pleasure to be with you. The day before the signing, the head of the Taliban's media operation said, this is a defeat, a defeat for the arrogance of the White House in the face of the White Turban. Is it a defeat for America? No, it's not. The narrative is false because there's been no military defeat. It's a political decision to end the war politically. Not only is the United States not defeated, the Afghan security forces are at their best and in the last seven months it's been Taliban that it's been losing. But our conviction that the war must end politically is what is driven this process forward. The victors of the war are no one. The victors of the peace are going to be the people of Afghanistan. We need to drop that kind of arrogant language and move forward to discuss our differences in the ways where we can come together as a United country, a United people, in a United nation. The 5,000 prisoners who have been mentioned, as you have pointed out, are not going to be released by the United States. They are under your authority. The authority of the Afghan government. Now, I remember when the United States released five Afghan prisoners from Guantanamo. This was an exchange for Bobur Gaur. There was an outcry, particularly among the Republican Party. Now, a Republican president is asking you to release 5,000 Taliban prisoners of war. Before you even start the talks with the Taliban, is that going to happen? President Trump is not asking me to release these people. We have not made a commitment to release them. It's a sovereign Afghan decision. We will discuss the question of prisoners as part of a peace still, which is to be comprehensive, which is to discuss. The wording that is used there is that the United States would facilitate with made it very clear to Ambassador Khalid Zad that the political capital in the consensus in the country that would be necessary for such a major step does not exist today. We need to see that significant issues, a permanent ceasefire discussion of the special relationship of Taliban to the countries that provide them sanctuary, especially Pakistan. Their relationship with all terrorist organizations, not just al-Qaeda, their relationship with drug cartels and most fundamentally the basic rights of the people of Afghanistan, the place of our security forces and our civilian administration, or all discussed. It is very clearly conveyed to them that they cannot put pre-conditions. Just technically, it's not possible to release 5,000 prisoners. It's a pain-staking process. Each person needs to be checked and in return for what we need to understand that the of one people have to see. Continuous commitment, not a sense of false claims of victory because all our forces and our government capabilities are intact."
13,14,2018-08-17 13:00:18,2,"#DYK whilst #TickBorneEncephalitis is not found in the UK, it can occur in many popular holiday destinations in Europe. Find out more: <hyperlink> #TickAlert #TravelBug <hyperlink>",Pfizer_UK,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1030439106285846529/pu/img/gv9D5DCC4lQV0vod.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1030439106285846529/pu/pl/61zoQbYCI5MWFrLt.m3u8?tag=5', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1030439106285846529/pu/vid/1280x720/c0TLi3R8jnLeyG-G.mp4?tag=5', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1030439106285846529/pu/vid/320x180/OsN-IfS_N847xkH1.mp4?tag=5', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1030439106285846529/pu/vid/640x360/w5ayc4YSlQ1Of8dq.mp4?tag=5', bitrate=832000)], duration=25.04, views=80)]",pfizer,"Image describes The image features a man and a woman riding bicycles on a dirt path. The man is wearing a white jacket, while the woman is wearing a green shirt. They both have helmets on their heads, ensuring safety during their ride. The woman's bicycle is blue, and the man's bicycle is black. The scene captures the couple enjoying a leisurely bike ride together. and the video's audio describes Hey! Hey! Ha ha! What? Ha ha ha! What? What? What? What? What? What?"
14,15,2018-11-20 23:19:06,670,"Survivors of the Parkland shooting were awarded the 2018 International Children's Peace Prize in Cape Town, South Africa. Archbishop Desmond Tutu presented the prize to David Hogg, Emma González, Jaclyn Corin and Matt Deitsch. <hyperlink> <hyperlink>",CNN,"[Photo(previewUrl='https://pbs.twimg.com/media/Dse3ohpXgAAWPRm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dse3ohpXgAAWPRm?format=jpg&name=large')]",cnn,"Image describes The image features a group of five people standing together, with four of them wearing red dresses. They are holding a trophy, possibly a sports award, and posing for a picture. The fifth person, who is not wearing a red dress, is sitting in a chair. The group is positioned in front of a wall, and they are all smiling, indicating a happy and celebratory moment."
15,16,2018-02-17 20:28:29,4,Be bold and take your shot. Who knows where the road will take you. #LetsGoPlaces <hyperlink>,ToyotaShowcase,"[Photo(previewUrl='https://pbs.twimg.com/media/DWQ5g4PX0AE8a8c?format=png&name=small', fullUrl='https://pbs.twimg.com/media/DWQ5g4PX0AE8a8c?format=png&name=large')]",toyota,There is nothing here
16,17,2019-04-16 16:49:47,233,Wow.  What an experience.  Complete with in flight drama and emergency landing.   Stories to tell for life! <hyperlink>,townsendbell,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1118194711288791040/pu/img/cuwLjfBTXn-R9yge.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1118194711288791040/pu/pl/ceCHL6J45v60O5xj.m3u8?tag=8', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1118194711288791040/pu/vid/360x640/QcvB-8wDYif_fWEP.mp4?tag=8', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1118194711288791040/pu/vid/320x568/hd5dnI16vFHvH9fN.mp4?tag=8', bitrate=632000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1118194711288791040/pu/vid/720x1280/MxL-oLEqrHPmq7OF.mp4?tag=8', bitrate=2176000)], duration=6.338, views=10332)]",bell,"Image describes The image features a man wearing a red and yellow fireman's uniform, walking across a runway at an airport. He is carrying a backpack, possibly containing essential equipment for his job. The man is walking on a runway with an airplane in the background, indicating that he is at an airport. The scene is set against a blue sky, which provides a contrasting backdrop to the man and the airplane. and the video's audio describes Yeah!"
17,18,2020-04-18 18:50:39,22,We heart this 💙 Pictured are more than 200 of our Vision Center associates who’ve volunteered at COVID-19 testing sites around the country 👏🙌😊 #ThanksTeamWalmart <hyperlink>,WalmartWorld,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1251583912813494274/pu/img/XeRJe3SSfGMUZTwC.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1251583912813494274/pu/pl/U95SJbUF8CGBSkgy.m3u8?tag=10', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1251583912813494274/pu/vid/1280x720/lQ0K4qLN66cbe39h.mp4?tag=10', bitrate=2176000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1251583912813494274/pu/vid/640x360/XcU34Hpi1sP--DKD.mp4?tag=10', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1251583912813494274/pu/vid/480x270/K6djtm7kxMgyUCN3.mp4?tag=10', bitrate=256000)], duration=15.061, views=460)]",walmart,"Image describes The image is a collage of various pictures featuring women wearing face masks. The collage is composed of numerous small photos of women, each wearing a face mask, and they are arranged in a grid-like pattern. The women are captured in different poses and expressions, showcasing the diversity of the individuals. The collage is predominantly black and white, with the face masks being the only colorful element in the image. and the video's audio describes you"
18,19,2020-03-03 19:09:03,0,Linda Ikeji Partners ECOBANK To Empower Young Ladies <hyperlink> <hyperlink>,IndependentNGR,"[Photo(previewUrl='https://pbs.twimg.com/media/ESNQCl_U4AAqTpa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ESNQCl_U4AAqTpa?format=jpg&name=large')]",independent,"Image describes The image features a smiling woman wearing a black shirt. She is standing in front of a white background, which provides a clean and simple backdrop for the photo. The woman's shirt has a message on it, which reads ""selfmade woman."" The shirt's color is black, and the message is written in white. The woman's smile and the bold message on her shirt convey a sense of confidence and determination."
19,20,2019-05-10 12:40:23,1138,"LOOK: World-class singers Darren Espanto <mention> and Morissette <mention> sing the Philippine rendition of the Disney classic song 'A Whole New World' | <mention>  

📸 <mention> <hyperlink>",cnnphilippines,"[Photo(previewUrl='https://pbs.twimg.com/media/D6NNR1wUYAEsK2B?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D6NNR1wUYAEsK2B?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/D6NNSgVUwAMJS5y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D6NNSgVUwAMJS5y?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/D6NNSyoUEAEokOv?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D6NNSyoUEAEokOv?format=jpg&name=large')]",cnn,"Image describes The image features a man and a woman standing in front of a large screen or poster. The man is wearing a white shirt, while the woman is dressed in a blue dress. They are posing for a picture in front of the screen, which is displaying an advertisement for the movie ""Aladdin."" The background is dark, and the couple is standing close to each other, creating a visually appealing scene."
20,21,2019-12-13 20:24:29,118,".<mention> is investing $1.5 billion into next-gen pickups with a majority going into our #GMWentzville plant to upgrade and prepare the facility. This investment will retain more than 4,000 good paying #USManufacturing jobs. Learn more here: <hyperlink> <hyperlink>",MFG_GM,"[Photo(previewUrl='https://pbs.twimg.com/media/ELsYh1LXsAAzPb_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ELsYh1LXsAAzPb_?format=jpg&name=large')]",general motors,"Image describes The image features a man standing in front of a group of people, possibly giving a speech or presentation. The man is wearing a suit and tie, and he appears to be the center of attention. The audience consists of several people, some of whom are wearing ties as well. The background of the scene includes a large blue sign, which might be related to the topic of the speech or presentation. The overall atmosphere suggests a formal event or gathering."
21,22,2018-11-21 18:52:56,907,"Supreme Court Chief Justice John Roberts makes a rare statement to rebuke President Trump's criticism of ""Obama judge"" <hyperlink> <hyperlink>",cnnbrk,"[Photo(previewUrl='https://pbs.twimg.com/media/DsjEJPNW0AA2WoO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DsjEJPNW0AA2WoO?format=jpg&name=large')]",cnn,"Image describes The image features a man wearing a suit and tie, standing in front of a microphone. He appears to be a speaker or a presenter, possibly giving a speech or addressing an audience. The man is wearing a blue tie, which stands out against his suit. The background of the image is blue, which adds to the overall color scheme and visual appeal of the scene."
22,23,2018-09-11 14:23:02,120,"Tournaments come and go, but the pictures are forever.

The best of the 2018 <mention>: <hyperlink> <hyperlink>",GettySport,"[Photo(previewUrl='https://pbs.twimg.com/media/Dm0dpR7X0AEHCvO?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dm0dpR7X0AEHCvO?format=jpg&name=large')]",getty images,"Image describes The image features a woman wearing a black hat and a grey jacket, holding up a trophy in her hands. She is kissing the trophy, showing her excitement and pride. The trophy is silver and has a cup-like shape. The woman is standing in front of a flag, which adds to the celebratory atmosphere of the scene."
23,24,2020-02-23 14:42:45,1309,Twitter suspends 70 pro-Bloomberg accounts for violating its rules <hyperlink> <hyperlink>,cnnbrk,"[Photo(previewUrl='https://pbs.twimg.com/media/ERd8lduW4AERL-t?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/ERd8lduW4AERL-t?format=jpg&name=large')]",cnn,"Image describes The image features a man wearing a suit and tie, standing in front of a television screen. He is waving his hand, possibly greeting someone or giving a speech. The man's suit is blue, and he is wearing a blue tie, which adds a pop of color to the scene. The television screen is located behind the man, and it appears to be the main focus of the image."
24,25,2020-07-19 00:07:00,78,Many people are understandably anxious to get outdoors in light of quarantines. Do it safely with these tips for #outdoor activities: <hyperlink> #COVID19 <hyperlink>,MayoClinic,"[Photo(previewUrl='https://pbs.twimg.com/media/EdP2C8RXYAAEkdX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EdP2C8RXYAAEkdX?format=jpg&name=large')]",mayo clinic,"Image describes The image features a woman walking her dog on a leash in a park. The woman is wearing a pink jacket, and the dog is a golden color. They are walking through a field with fallen leaves, creating a picturesque autumn scene. The woman is also holding a cell phone in her hand."
25,26,2019-02-23 06:25:14,224,"After winning hearts, Nokia 6.1 Plus is getting even better. Now multitask like a pro with the Nokia 6.1 Plus, now with 6GB RAM. Buy now- <hyperlink> <hyperlink>",NokiamobileIN,"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1099192965463977984/pu/img/kYphuR1XAhy0DVbT.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1099192965463977984/pu/vid/320x320/9GzP37NuLBwfPjh5.mp4?tag=6', bitrate=432000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1099192965463977984/pu/pl/PCRnT61ufd8lWcX3.m3u8?tag=6', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1099192965463977984/pu/vid/480x480/lcdm2mZ4TijFdP5a.mp4?tag=6', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1099192965463977984/pu/vid/720x720/6pcOFztLstQPFQWB.mp4?tag=6', bitrate=1280000)], duration=17.985, views=1486)]",nokia,"Image describes The image is a black and white photo of a person standing in a dark room. The person is positioned towards the center of the image, with their body facing the left side. The room appears to be dimly lit, creating a somewhat mysterious atmosphere. The black and white color scheme adds a sense of timelessness and nostalgia to the scene. and the video's audio describes you"
26,27,2018-09-26 16:42:17,961,ALSO NOW (yes it's wild here today): Sen Merkley announcing he has filed a lawsuit challenging Trump admin's lack of release of some Kavanaugh documents as violating balance of powers and unconstitutional. <hyperlink>,LisaDNews,"[Photo(previewUrl='https://pbs.twimg.com/media/DoCNXLsV4AAM2Aw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DoCNXLsV4AAM2Aw?format=jpg&name=large')]",desjardins,"Image describes The image features a man sitting in a chair, holding a piece of paper. He is wearing a suit and tie, and appears to be reading the paper. The room he is in has a couch and a dining table, with a chair placed near the table. The man is surrounded by various objects, including a clock on the wall, a vase, and a book. The scene is set against a backdrop of a blue and yellow sign, which adds a pop of color to the room."
27,28,2019-06-13 18:47:33,20,"We got a sneak peek at Star Wars Jedi: Fallen Order at #E32019, and we can already feel The Force flowing through us. Read about it on the blog and preorder today. <hyperlink> <hyperlink>",Walmart,"[Photo(previewUrl='https://pbs.twimg.com/media/D89iHvrXUAABkhK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/D89iHvrXUAABkhK?format=jpg&name=large')]",walmart,"Image describes The image features a person wearing a brown vest and black pants, who is climbing a wall or a bridge. The person appears to be a woman, and she is holding a red laser gun in her hand. The scene is set in a dark environment, possibly a cave or a dungeon-like setting. The red laser gun adds a pop of color to the otherwise dark and moody atmosphere."
28,29,2020-06-10 22:17:40,352,"Here is <mention>'s most recent statement about JK Rowling, and as a quasi-award winning editor, I am partially qualified to say that the lede is *delicious.*

“It seems JK is good at only one thing: writing fantasy."" <hyperlink>",Nico_Lang,"[Photo(previewUrl='https://pbs.twimg.com/media/EaLwNDTU4AE2BMK?format=png&name=small', fullUrl='https://pbs.twimg.com/media/EaLwNDTU4AE2BMK?format=png&name=large')]",ups,"Image describes The image is a black and white photo of a person standing in front of a bookshelf. The person is wearing a tie, and there are several books visible on the shelf. The person appears to be looking at the books, possibly considering which one to read or pick up. The black and white color scheme adds a classic and timeless feel to the scene."
29,30,2019-12-23 10:21:46,153,"Now in 1542, #MaryQueenofScots has been queen for nine days....but she’s only fifteen days old....and the lords whom her father, James V, could barely control while he was alive are circling to depose the baby queen. Read here. Last minute present! <hyperlink> <hyperlink>",KateWilliamsme,"[Photo(previewUrl='https://pbs.twimg.com/media/EMdudNJW4AEOejZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EMdudNJW4AEOejZ?format=jpg&name=large')]",williams,"Image describes The image features a woman standing in front of a beautifully decorated Christmas tree. She is holding a book, possibly a novel, and appears to be posing for a picture. The woman is wearing a red sweater, which adds a pop of color to the scene. The Christmas tree is adorned with various ornaments, creating a festive atmosphere. The woman's smile and the presence of the book suggest a joyful and cozy holiday setting."
